league,name,href,value
Bardzraguyn khumb,FC Urartu Yerevan,https://www.transfermarkt.com/fc-urartu-yerevan/kader/verein/11411/saison_id/2024,5230000
Bardzraguyn khumb,FC Ararat Yerevan,https://www.transfermarkt.com/fc-ararat-yerevan/kader/verein/11912/saison_id/2024,3340000
Bardzraguyn khumb,Alashkert Yerevan FC,https://www.transfermarkt.com/alashkert-yerevan-fc/kader/verein/37914/saison_id/2024,3290000
Bardzraguyn khumb,FC Van,https://www.transfermarkt.com/fc-van/kader/verein/74661/saison_id/2024,3150000
Bardzraguyn khumb,FC Shirak Gyumri,https://www.transfermarkt.com/fc-shirak-gyumri/kader/verein/4807/saison_id/2024,2700000
Bardzraguyn khumb,BKMA Yerevan,https://www.transfermarkt.com/bkma-yerevan/kader/verein/46507/saison_id/2024,2360000
Bardzraguyn khumb,FC West Armenia,https://www.transfermarkt.com/fc-west-armenia/kader/verein/74960/saison_id/2024,2200000
Bardzraguyn khumb,Gandzasar Kapan,https://www.transfermarkt.com/gandzasar-kapan/kader/verein/23911/saison_id/2024,1560000
Premier League,Manchester City,https://www.transfermarkt.com/manchester-city/kader/verein/281/saison_id/2024,1260000000
Premier League,Arsenal FC,https://www.transfermarkt.com/arsenal-fc/kader/verein/11/saison_id/2024,1170000000
Premier League,Chelsea FC,https://www.transfermarkt.com/chelsea-fc/kader/verein/631/saison_id/2024,963200000
Premier League,Liverpool FC,https://www.transfermarkt.com/liverpool-fc/kader/verein/31/saison_id/2024,931000000
Premier League,Manchester United,https://www.transfermarkt.com/manchester-united/kader/verein/985/saison_id/2024,854150000
Premier League,Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/kader/verein/148/saison_id/2024,788300000
Premier League,Newcastle United,https://www.transfermarkt.com/newcastle-united/kader/verein/762/saison_id/2024,657650000
Premier League,Aston Villa,https://www.transfermarkt.com/aston-villa/kader/verein/405/saison_id/2024,615450000
Premier League,Brighton & Hove Albion,https://www.transfermarkt.com/brighton-amp-hove-albion/kader/verein/1237/saison_id/2024,574600000
Premier League,West Ham United,https://www.transfermarkt.com/west-ham-united/kader/verein/379/saison_id/2024,481500000
Premier League,Crystal Palace,https://www.transfermarkt.com/crystal-palace/kader/verein/873/saison_id/2024,438000000
Premier League,Nottingham Forest,https://www.transfermarkt.com/nottingham-forest/kader/verein/703/saison_id/2024,427700000
Premier League,Brentford FC,https://www.transfermarkt.com/brentford-fc/kader/verein/1148/saison_id/2024,403030000
Premier League,Wolverhampton Wanderers,https://www.transfermarkt.com/wolverhampton-wanderers/kader/verein/543/saison_id/2024,379700000
Premier League,AFC Bournemouth,https://www.transfermarkt.com/afc-bournemouth/kader/verein/989/saison_id/2024,354850000
Premier League,Everton FC,https://www.transfermarkt.com/everton-fc/kader/verein/29/saison_id/2024,353100000
Premier League,Fulham FC,https://www.transfermarkt.com/fulham-fc/kader/verein/931/saison_id/2024,346000000
Premier League,Southampton FC,https://www.transfermarkt.com/southampton-fc/kader/verein/180/saison_id/2024,283200000
Premier League,Leicester City,https://www.transfermarkt.com/leicester-city/kader/verein/1003/saison_id/2024,275600000
Premier League,Ipswich Town,https://www.transfermarkt.com/ipswich-town/kader/verein/677/saison_id/2024,195400000
LaLiga,Real Madrid,https://www.transfermarkt.com/real-madrid/kader/verein/418/saison_id/2024,1360000000
LaLiga,FC Barcelona,https://www.transfermarkt.com/fc-barcelona/kader/verein/131/saison_id/2024,946000000
LaLiga,Atlético de Madrid,https://www.transfermarkt.com/atletico-de-madrid/kader/verein/13/saison_id/2024,511000000
LaLiga,Real Sociedad,https://www.transfermarkt.com/real-sociedad/kader/verein/681/saison_id/2024,443700000
LaLiga,Athletic Bilbao,https://www.transfermarkt.com/athletic-bilbao/kader/verein/621/saison_id/2024,338700000
LaLiga,Valencia CF,https://www.transfermarkt.com/valencia-cf/kader/verein/1049/saison_id/2024,253000000
LaLiga,Villarreal CF,https://www.transfermarkt.com/villarreal-cf/kader/verein/1050/saison_id/2024,230700000
LaLiga,Girona FC,https://www.transfermarkt.com/girona-fc/kader/verein/12321/saison_id/2024,216500000
LaLiga,Real Betis Balompié,https://www.transfermarkt.com/real-betis-balompie/kader/verein/150/saison_id/2024,192400000
